carga_id,temperatura_carga,velocidade_media_kmh,distancia_destino_km,atraso_horas,status_rota,sinal_satelite,tipo_carga,risco
1,28,84,1375,11,Parado,Medio,Eletronico,Alto
2,18,40,774,4,Parado,Medio,Eletronico,Alto
3,21,46,1192,4,Desvio,Medio,Alimento,Medio
4,7,98,216,12,Normal,Fraco,Eletronico,Alto
5,-3,40,1190,9,Desvio,Medio,Alimento,Alto
6,15,101,34,11,Normal,Medio,Medicamento,Alto
7,28,112,1898,10,Desvio,Fraco,Medicamento,Alto
8,5,26,312,8,Desvio,Forte,Medicamento,Alto
9,39,95,874,11,Normal,Forte,Eletronico,Alto
10,8,27,875,11,Desvio,Medio,Eletronico,Alto
11,36,56,1961,10,Desvio,Forte,Alimento,Alto
12,22,103,1934,5,Parado,Forte,Medicamento,Alto
13,13,31,1971,10,Normal,Medio,Medicamento,Alto
14,-4,86,517,2,Normal,Medio,Medicamento,Baixo
15,-4,75,1911,8,Parado,Medio,Alimento,Alto
16,21,31,745,12,Normal,Fraco,Eletronico,Alto
17,0,101,1543,3,Parado,Fraco,Alimento,Alto
18,27,45,1846,6,Desvio,Medio,Alimento,Medio
19,32,120,1518,12,Parado,Fraco,Medicamento,Alto
20,40,78,1815,5,Desvio,Medio,Alimento,Medio
21,-5,93,1358,10,Desvio,Medio,Eletronico,Alto
22,-3,83,13,6,Desvio,Forte,Medicamento,Medio
23,23,56,331,1,Parado,Medio,Alimento,Alto
24,1,82,23,3,Normal,Medio,Eletronico,Medio
25,27,55,1763,12,Normal,Medio,Eletronico,Alto
26,38,62,1486,9,Desvio,Forte,Medicamento,Alto
27,25,70,378,9,Desvio,Medio,Eletronico,Alto
28,18,63,1427,6,Desvio,Medio,Medicamento,Medio
29,38,94,242,4,Desvio,Forte,Eletronico,Medio
30,17,23,521,3,Desvio,Fraco,Eletronico,Alto
31,16,119,1725,0,Desvio,Fraco,Medicamento,Alto
32,0,75,750,0,Normal,Medio,Medicamento,Baixo
33,23,78,755,3,Parado,Forte,Medicamento,Alto
34,29,65,1485,2,Normal,Forte,Alimento,Baixo
35,19,64,1461,11,Parado,Forte,Medicamento,Alto
36,7,101,1393,3,Normal,Medio,Eletronico,Medio
37,30,81,1428,2,Desvio,Medio,Alimento,Medio
38,1,92,1065,12,Desvio,Medio,Medicamento,Alto
39,4,34,1951,7,Parado,Fraco,Eletronico,Alto
40,40,75,1673,10,Parado,Medio,Medicamento,Alto
41,10,27,217,5,Parado,Fraco,Medicamento,Alto
42,25,58,132,1,Parado,Fraco,Medicamento,Alto
43,18,38,1760,11,Desvio,Medio,Eletronico,Alto
44,19,102,507,7,Normal,Medio,Medicamento,Alto
45,10,107,866,12,Normal,Forte,Medicamento,Alto
46,9,24,580,8,Desvio,Fraco,Medicamento,Alto
47,12,100,414,11,Parado,Forte,Medicamento,Alto
48,37,56,1278,3,Desvio,Medio,Alimento,Medio
49,33,24,593,12,Desvio,Fraco,Alimento,Alto
50,16,71,1069,5,Desvio,Forte,Eletronico,Medio
51,33,92,1420,10,Parado,Medio,Medicamento,Alto
52,0,114,1330,5,Normal,Fraco,Alimento,Alto
53,8,32,464,1,Desvio,Fraco,Alimento,Alto
54,8,75,989,4,Normal,Forte,Eletronico,Medio
55,18,95,853,6,Normal,Forte,Eletronico,Medio
56,19,94,128,2,Desvio,Medio,Alimento,Medio
57,35,20,972,3,Desvio,Medio,Alimento,Medio
58,9,117,440,1,Normal,Fraco,Medicamento,Alto
59,40,87,1524,0,Parado,Medio,Medicamento,Alto
60,-2,64,1080,8,Normal,Fraco,Eletronico,Alto
61,9,73,88,11,Normal,Fraco,Alimento,Alto
62,20,70,86,3,Desvio,Fraco,Medicamento,Alto
63,2,20,1983,11,Desvio,Fraco,Medicamento,Alto
64,2,62,1287,5,Normal,Forte,Eletronico,Medio
65,10,84,707,8,Desvio,Fraco,Alimento,Alto
66,28,69,1595,6,Parado,Medio,Eletronico,Alto
67,25,110,1769,11,Parado,Medio,Eletronico,Alto
68,4,57,446,5,Parado,Medio,Eletronico,Alto
69,-2,80,1451,4,Normal,Fraco,Eletronico,Alto
70,2,91,621,11,Normal,Fraco,Alimento,Alto
71,11,115,379,6,Desvio,Forte,Eletronico,Medio
72,33,66,1248,4,Normal,Medio,Eletronico,Medio
73,4,46,993,10,Normal,Fraco,Medicamento,Alto
74,17,87,1709,12,Desvio,Fraco,Alimento,Alto
75,30,108,496,10,Normal,Medio,Eletronico,Alto
76,21,108,1382,2,Normal,Forte,Eletronico,Baixo
77,35,77,1002,12,Parado,Medio,Medicamento,Alto
78,15,120,1123,3,Parado,Forte,Alimento,Alto
79,16,91,733,12,Normal,Medio,Alimento,Alto
80,26,34,319,7,Parado,Fraco,Alimento,Alto
81,33,79,1089,11,Parado,Medio,Alimento,Alto
82,20,25,620,12,Desvio,Forte,Eletronico,Alto
83,0,86,1605,0,Normal,Medio,Medicamento,Baixo
84,-3,108,31,9,Desvio,Fraco,Eletronico,Alto
85,15,86,509,7,Desvio,Forte,Medicamento,Alto
86,16,52,859,2,Parado,Medio,Alimento,Alto
87,8,75,358,9,Normal,Forte,Alimento,Alto
88,-5,84,1996,3,Desvio,Fraco,Eletronico,Alto
89,-4,107,691,2,Desvio,Fraco,Eletronico,Alto
90,27,49,407,10,Parado,Fraco,Alimento,Alto
91,21,40,1346,8,Parado,Fraco,Eletronico,Alto
92,-2,31,862,12,Normal,Fraco,Eletronico,Alto
93,21,113,349,1,Normal,Fraco,Eletronico,Alto
94,-1,79,1499,1,Desvio,Forte,Medicamento,Medio
95,27,71,389,7,Parado,Fraco,Eletronico,Alto
96,7,54,1602,9,Normal,Medio,Medicamento,Alto
97,2,68,641,3,Parado,Fraco,Alimento,Alto
98,33,67,1227,4,Normal,Fraco,Eletronico,Alto
99,2,58,167,7,Normal,Fraco,Medicamento,Alto
100,39,54,1519,8,Parado,Medio,Eletronico,Alto
101,18,76,209,10,Parado,Fraco,Alimento,Alto
102,19,94,679,11,Parado,Forte,Alimento,Alto
103,-3,36,237,7,Normal,Medio,Alimento,Alto
104,37,24,1919,12,Normal,Medio,Eletronico,Alto
105,18,52,243,3,Normal,Forte,Eletronico,Medio
106,28,114,1756,11,Desvio,Medio,Eletronico,Alto
107,10,116,1101,3,Parado,Forte,Eletronico,Alto
108,11,59,1359,4,Normal,Forte,Alimento,Medio
109,11,65,201,8,Desvio,Forte,Medicamento,Alto
110,27,56,1404,1,Desvio,Forte,Medicamento,Medio
111,-3,24,220,12,Parado,Medio,Alimento,Alto
112,39,73,913,6,Parado,Medio,Eletronico,Alto
113,-1,37,1751,12,Parado,Fraco,Medicamento,Alto
114,25,36,108,2,Parado,Forte,Alimento,Alto
115,32,26,865,3,Parado,Forte,Alimento,Alto
116,2,70,1223,6,Desvio,Medio,Eletronico,Medio
117,3,89,1478,9,Desvio,Fraco,Alimento,Alto
118,21,50,159,9,Parado,Forte,Medicamento,Alto
119,31,47,1909,1,Desvio,Fraco,Alimento,Alto
120,14,97,1317,10,Normal,Medio,Eletronico,Alto
121,28,70,1270,0,Normal,Forte,Alimento,Baixo
122,19,76,1721,5,Normal,Fraco,Alimento,Alto
123,21,24,275,7,Desvio,Medio,Eletronico,Alto
